Invoice ID,Branch,Customer type,Gender,Product Catogry,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment
296-11-7041,Farwaniya,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,31-Mar-22,20:07,Credit card
421-95-9805,Hawally,Normal,Female,Electronic accessories,28.96,1,1.448,30.408,28-Mar-22,10:18,Credit card
320-49-6392,Aljahra,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,02-Mar-22,15:44,Cash
488-25-4221,Aljahra,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,17-Mar-22,10:36,Credit card
318-12-0304,Hawally,Normal,Male,Health and beauty,30.61,1,1.5305,32.1405,30-Mar-22,13:30,Knet
307-04-2070,Hawally,Member,Female,Health and beauty,30.62,1,1.531,32.151,26-Mar-22,14:14,Knet
617-15-4209,Aljahra,Member,Male,Health and beauty,15.37,2,1.537,32.277,30-Mar-22,19:47,Cash
859-71-0933,Aljahra,Member,Female,Sports and travel,15.49,2,1.549,32.529,31-Mar-22,15:10,Credit card
545-46-3100,Farwaniya,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,31-Mar-22,13:52,Credit card
727-02-1313,Hawally,Member,Female,Food and beverages,31.84,1,1.592,33.432,16-Mar-22,16:00,Knet
573-98-8548,Aljahra,Member,Female,Health and beauty,31.9,1,1.595,33.495,24-Mar-22,12:40,Knet
242-55-6721,Farwaniya,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,31-Mar-22,11:49,Knet
479-26-8945,Farwaniya,Member,Female,Sports and travel,16.49,2,1.649,34.629,31-Mar-22,11:32,Knet
649-29-6775,Farwaniya,Normal,Male,Health and beauty,33.52,1,1.676,35.196,27-Mar-22,15:31,Cash
574-31-8277,Farwaniya,Member,Male,Health and beauty,33.63,1,1.6815,35.3115,30-Mar-22,19:55,Credit card
715-20-1673,Farwaniya,Normal,Female,Electronic accessories,28.38,1,7.095,35.475,27-Mar-22,20:57,Cash
320-85-2052,Farwaniya,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,01-Mar-22,10:11,Knet
482-17-1179,Hawally,Member,Male,Electronic accessories,11.94,3,1.791,37.611,31-Mar-22,12:47,Credit card
729-46-7422,Aljahra,Normal,Male,Food and beverages,35.89,1,1.7945,37.6845,30-Mar-22,16:52,Credit card
523-38-0215,Aljahra,Normal,Male,Home and lifestyle,37,1,1.85,38.85,30-Mar-22,13:29,Credit card
390-17-5806,Aljahra,Member,Female,Food and beverages,38.42,1,1.921,40.341,18-Mar-22,16:33,Cash
604-70-6476,Hawally,Member,Male,Health and beauty,17.94,2,4.485,40.365,25-Mar-22,14:04,Knet
575-67-1508,Hawally,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,30-Mar-22,11:26,Credit card
573-10-3877,Farwaniya,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,01-Mar-22,16:46,Credit card
449-27-2918,Farwaniya,Member,Female,Sports and travel,39.12,1,1.956,41.076,01-Mar-22,11:02,Credit card
622-20-1945,Aljahra,Normal,Female,Health and beauty,39.42,1,1.971,41.391,05-Mar-22,15:08,Cash
528-87-5606,Farwaniya,Member,Female,Electronic accessories,39.48,1,1.974,41.454,31-Mar-22,19:43,Cash
608-05-3804,Farwaniya,Member,Male,Electronic accessories,39.75,1,1.9875,41.7375,30-Mar-22,20:19,Cash
233-67-5758,Aljahra,Normal,Female,Health and beauty,40.35,1,2.0175,42.3675,30-Mar-22,14:00,Cash
324-92-3863,Hawally,Member,Male,Electronic accessories,20.89,2,2.089,43.869,21-Mar-22,18:45,Knet
687-15-1097,Aljahra,Member,Female,Health and beauty,21.12,2,2.112,44.352,28-Mar-22,19:17,Cash
504-35-8843,Hawally,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,24-Mar-22,16:57,Cash
722-13-2115,Aljahra,Member,Female,Sports and travel,42.85,1,2.1425,44.9925,28-Mar-22,15:36,Credit card
105-10-6182,Hawally,Member,Male,Health and beauty,21.48,2,2.148,45.108,31-Mar-22,12:22,Knet
132-23-6451,Hawally,Member,Male,Health and beauty,20.97,2,5.2425,47.1825,30-Mar-22,13:21,Cash
574-57-9721,Aljahra,Normal,Male,Food and beverages,43.27,1,4.327,47.597,22-Mar-22,16:53,Knet
560-49-6611,Hawally,Member,Female,Sports and travel,45.58,1,2.279,47.859,31-Mar-22,14:13,Cash
311-13-6971,Farwaniya,Member,Male,Sports and travel,31.99,1,15.995,47.985,01-Mar-22,15:18,Credit card
318-81-2368,Aljahra,Normal,Female,Electronic accessories,46.2,1,2.31,48.51,01-Mar-22,12:16,Credit card
651-96-5970,Hawally,Normal,Male,Health and beauty,46.41,1,2.3205,48.7305,23-Mar-22,05:22,Credit card
442-48-3607,Hawally,Member,Male,Food and beverages,23.48,2,2.348,49.308,17-Mar-22,14:00,Credit card
169-52-4504,Hawally,Normal,Female,Electronic accessories,15.69,3,2.3535,49.4235,22-Mar-22,14:13,Credit card
489-64-4354,Aljahra,Normal,Male,Health and beauty,16.28,3,0.814,49.654,07-Mar-22,15:36,Cash
605-03-2706,Hawally,Normal,Female,Health and beauty,15.8,3,2.37,49.77,28-Mar-22,18:02,Cash
448-34-8700,Farwaniya,Member,Male,Home and lifestyle,36.91,1,12.9185,49.8285,27-Mar-22,13:51,Knet
735-06-4124,Aljahra,Normal,Male,Food and beverages,48.61,1,2.4305,51.0405,30-Mar-22,15:31,Cash
163-56-7055,Aljahra,Member,Male,Health and beauty,48.71,1,2.4355,51.1455,30-Mar-22,19:20,Cash
825-94-5922,Farwaniya,Normal,Female,Sports and travel,25.31,2,2.531,53.151,01-Mar-22,19:26,Knet
516-77-6464,Aljahra,Member,Female,Health and beauty,10.16,5,2.54,53.34,28-Mar-22,13:08,Knet
695-28-6250,Hawally,Normal,Female,Sports and travel,43.06,1,10.765,53.825,26-Mar-22,16:38,Knet
659-65-8956,Farwaniya,Member,Male,Health and beauty,51.36,1,2.568,53.928,01-Mar-22,15:26,Knet
413-20-6708,Aljahra,Member,Female,Health and beauty,51.47,1,2.5735,54.0435,01-Mar-22,15:52,Knet
286-01-5402,Hawally,Normal,Female,Sports and travel,40.23,1,14.0805,54.3105,31-Mar-22,13:22,Cash
885-56-0389,Aljahra,Member,Male,Health and beauty,52.35,1,2.6175,54.9675,01-Mar-22,17:49,Cash
471-06-8611,Aljahra,Normal,Female,Food and beverages,52.42,1,2.621,55.041,28-Mar-22,10:22,Knet
664-14-2882,Aljahra,Member,Female,Home and lifestyle,10.53,5,2.6325,55.2825,25-Mar-22,14:43,Credit card
696-90-2548,Hawally,Normal,Male,Sports and travel,25.84,2,3.876,55.556,31-Mar-22,18:55,Knet
462-78-5240,Aljahra,Normal,Female,Electronic accessories,26.61,2,2.661,55.881,29-Mar-22,14:35,Cash
587-73-4862,Hawally,Member,Female,Health and beauty,10.69,5,2.6725,56.1225,29-Mar-22,11:07,Knet
238-45-6950,Farwaniya,Member,Male,Food and beverages,53.72,1,2.686,56.406,29-Mar-22,20:03,Knet
676-10-2200,Aljahra,Member,Male,Health and beauty,53.78,1,2.689,56.469,28-Mar-22,20:13,Knet
895-66-0685,Farwaniya,Member,Male,Food and beverages,18.08,3,2.712,56.952,03-Mar-22,19:46,Knet
605-83-1050,Farwaniya,Normal,Male,Health and beauty,27.18,2,2.718,57.078,28-Mar-22,10:22,Knet
154-74-7179,Farwaniya,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,21-Mar-22,19:24,Knet
790-38-4466,Aljahra,Normal,Female,Health and beauty,10.99,5,2.7475,57.6975,30-Mar-22,02:22,Credit card
226-34-0034,Farwaniya,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,31-Mar-22,11:10,Knet
491-38-3499,Hawally,Member,Male,Health and beauty,55.45,1,2.7725,58.2225,18-Mar-22,17:46,Credit card
518-17-2983,Hawally,Normal,Female,Health and beauty,48.63,1,9.726,58.356,20-Mar-22,15:44,Knet
745-71-3520,Hawally,Member,Female,Electronic accessories,25.22,2,8.827,59.267,02-Mar-22,10:23,Cash
584-66-4073,Aljahra,Normal,Male,Health and beauty,56.5,1,2.825,59.325,30-Mar-22,15:45,Knet
278-86-2735,Hawally,Normal,Female,Food and beverages,52.34,1,7.851,60.191,25-Mar-22,14:03,Cash
865-92-6136,Hawally,Normal,Male,Food and beverages,52.75,1,7.9125,60.6625,31-Mar-22,10:16,Knet
351-62-0822,Aljahra,Member,Female,Health and beauty,14.48,4,2.896,60.816,11-Mar-22,19:15,Knet
460-93-5834,Hawally,Normal,Female,Sports and travel,45.58,1,15.953,61.533,02-Mar-22,04:00,Cash
389-25-3394,Aljahra,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,31-Mar-22,18:06,Cash
273-84-2164,Aljahra,Member,Male,Electronic accessories,12.05,5,3.0125,63.2625,30-Mar-22,15:53,Credit card
291-59-1384,Farwaniya,Normal,Male,Electronic accessories,60.3,1,3.015,63.315,28-Mar-22,03:04,Credit card
443-60-9639,Aljahra,Member,Female,Home and lifestyle,60.87,1,3.0435,63.9135,29-Mar-22,06:01,Knet
652-49-6720,Aljahra,Member,Female,Electronic accessories,60.95,1,3.0475,63.9975,30-Mar-22,13:00,Knet
278-97-7759,Hawally,Member,Female,Electronic accessories,62.48,1,3.124,65.604,01-Mar-22,20:29,Knet
428-83-5800,Aljahra,Member,Female,Food and beverages,21.08,3,3.162,66.402,01-Mar-22,10:25,Knet
633-44-8566,Hawally,Member,Male,Food and beverages,49.38,1,17.283,66.663,23-Mar-22,20:35,Knet
275-28-0149,Hawally,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,23-Mar-22,16:21,Credit card
225-32-0908,Aljahra,Normal,Female,Sports and travel,44.86,1,22.43,67.29,27-Mar-22,19:54,Credit card
881-41-7302,Aljahra,Normal,Female,Health and beauty,64.99,1,3.2495,68.2395,23-Mar-22,23:30,Knet
305-89-2768,Aljahra,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,15-Mar-22,18:43,Knet
821-07-3596,Aljahra,Normal,Female,Health and beauty,16.45,4,3.29,69.09,22-Mar-22,14:53,Knet
347-56-2442,Hawally,Normal,Female,Home and lifestyle,65.82,1,3.291,69.111,17-Mar-22,17:00,Knet
346-84-3103,Farwaniya,Member,Female,Electronic accessories,13.22,5,3.305,69.405,01-Mar-22,19:26,Knet
366-93-0948,Hawally,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,17-Mar-22,10:46,Credit card
273-16-6619,Farwaniya,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,23-Mar-22,12:20,Credit card
794-42-3736,Farwaniya,Normal,Male,Food and beverages,33.33,2,3.333,69.993,24-Mar-22,14:41,Knet
838-78-4295,Aljahra,Normal,Female,Health and beauty,33.47,2,3.347,70.287,30-Mar-22,15:43,Knet
151-33-7434,Farwaniya,Normal,Female,Food and beverages,67.77,1,3.3885,71.1585,18-Mar-22,20:43,Knet
232-16-2483,Aljahra,Member,Female,Sports and travel,68.12,1,3.406,71.526,24-Mar-22,12:28,Knet
886-54-6089,Hawally,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,24-Mar-22,17:24,Knet
732-67-5346,Hawally,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,30-Mar-22,19:07,Credit card
162-65-8559,Aljahra,Member,Male,Food and beverages,68.98,1,3.449,72.429,30-Mar-22,20:13,Credit card
686-41-0932,Farwaniya,Normal,Female,Health and beauty,34.7,2,3.47,72.87,25-Mar-22,19:48,Knet
220-28-1851,Hawally,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,01-Mar-22,18:14,Knet
333-23-2632,Hawally,Member,Male,Health and beauty,10.08,7,3.528,74.088,25-Mar-22,08:22,Knet
239-48-4278,Hawally,Member,Female,Food and beverages,10.13,7,3.5455,74.4555,30-Mar-22,19:35,Knet
870-76-1733,Hawally,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,31-Mar-22,10:08,Knet
841-18-8232,Farwaniya,Normal,Female,Food and beverages,71.2,1,3.56,74.76,31-Mar-22,11:04,Credit card
616-24-2851,Farwaniya,Member,Female,Health and beauty,17.87,4,3.574,75.054,01-Mar-22,14:42,Credit card
217-58-1179,Hawally,Member,Male,Home and lifestyle,62.65,1,12.53,75.18,04-Mar-22,11:25,Knet
190-14-3147,Aljahra,Normal,Female,Health and beauty,17.97,4,3.594,75.474,22-Mar-22,20:43,Knet
441-94-7118,Hawally,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,30-Mar-22,03:00,Knet
279-74-2924,Farwaniya,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,30-Mar-22,19:40,Knet
359-90-3665,Farwaniya,Member,Female,Health and beauty,18.08,4,3.616,75.936,05-Mar-22,18:03,Knet
665-32-9167,Aljahra,Member,Male,Health and beauty,36.26,2,3.626,76.146,09-Mar-22,17:15,Credit card
316-68-6352,Hawally,Member,Female,Food and beverages,36.36,2,3.636,76.356,30-Mar-22,10:00,Credit card
631-34-1880,Aljahra,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,30-Mar-22,19:09,Knet
227-50-3718,Hawally,Normal,Male,Health and beauty,14.62,5,3.655,76.755,28-Mar-22,12:23,Knet
585-90-0249,Hawally,Member,Male,Electronic accessories,73.26,1,3.663,76.923,16-Mar-22,08:04,Knet
835-16-0096,Aljahra,Member,Male,Sports and travel,14.7,5,3.675,77.175,18-Mar-22,15:00,Knet
339-12-4827,Farwaniya,Member,Female,Health and beauty,73.96,1,3.698,77.658,01-Mar-22,11:32,Knet
277-63-2961,Farwaniya,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,23-Mar-22,15:53,Credit card
400-60-7251,Hawally,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,01-Mar-22,12:50,Credit card
843-73-4724,Hawally,Normal,Male,Health and beauty,74.1,1,3.705,77.805,20-Mar-22,12:04,Knet
285-68-5083,Aljahra,Member,Female,Sports and travel,24.74,3,3.711,77.931,31-Mar-22,17:47,Knet
556-86-3144,Aljahra,Member,Female,Health and beauty,74.29,1,3.7145,78.0045,03-Mar-22,19:30,Knet
871-39-9221,Aljahra,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,30-Mar-22,13:11,Knet
593-95-4461,Aljahra,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,01-Mar-22,14:49,Knet
578-80-7669,Farwaniya,Normal,Male,Sports and travel,74.97,1,3.7485,78.7185,07-Mar-22,16:58,Credit card
546-80-2899,Hawally,Member,Male,Home and lifestyle,37.69,2,3.769,79.149,24-Mar-22,15:29,Credit card
525-88-7307,Farwaniya,Member,Male,Sports and travel,75.82,1,3.791,79.611,29-Mar-22,13:19,Knet
343-87-0864,Aljahra,Member,Male,Health and beauty,75.88,1,3.794,79.674,30-Mar-22,10:30,Knet
172-42-8274,Farwaniya,Normal,Female,Electronic accessories,38.27,2,3.827,80.367,25-Mar-22,18:18,Knet
563-36-9814,Hawally,Member,Male,Electronic accessories,76.82,1,3.841,80.661,28-Mar-22,18:27,Knet
556-41-6224,Aljahra,Normal,Male,Health and beauty,33.64,2,13.456,80.736,30-Mar-22,17:10,Knet
445-30-9252,Hawally,Normal,Male,Sports and travel,25.7,3,3.855,80.955,01-Mar-22,17:59,Credit card
636-98-3364,Farwaniya,Member,Female,Electronic accessories,26.26,3,3.939,82.719,31-Mar-22,12:36,Credit card
860-73-6466,Hawally,Member,Female,Sports and travel,39.47,2,3.947,82.887,29-Mar-22,04:04,Knet
512-98-1403,Hawally,Member,Female,Electronic accessories,26.48,3,3.972,83.412,30-Mar-22,10:40,Knet
885-17-6250,Hawally,Normal,Female,Health and beauty,79.74,1,3.987,83.727,30-Mar-22,10:36,Knet
319-50-3348,Farwaniya,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,20-Mar-22,15:30,Knet
865-41-9075,Hawally,Normal,Male,Food and beverages,11.53,7,4.0355,84.7455,20-Mar-22,17:35,Knet
173-50-1108,Farwaniya,Member,Female,Sports and travel,20.18,4,4.036,84.756,01-Mar-22,12:14,Credit card
284-54-4231,Aljahra,Member,Male,Sports and travel,80.93,1,4.0465,84.9765,23-Mar-22,16:08,Credit card
225-98-1496,Aljahra,Normal,Female,Health and beauty,27.02,3,4.053,85.113,30-Mar-22,13:01,Knet
679-22-6530,Aljahra,Normal,Female,Sports and travel,40.62,2,4.062,85.302,24-Mar-22,10:01,Knet
115-38-7388,Aljahra,Member,Female,Health and beauty,10.18,8,4.072,85.512,30-Mar-22,12:51,Knet
186-09-3669,Aljahra,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,01-Mar-22,10:57,Knet
390-31-6381,Aljahra,Normal,Male,Food and beverages,27.22,3,4.083,85.743,02-Mar-22,12:37,Knet
388-76-2555,Farwaniya,Normal,Female,Sports and travel,13.69,6,4.107,86.247,30-Mar-22,13:59,Credit card
880-35-0356,Hawally,Member,Female,Sports and travel,75.2,1,11.28,86.48,15-Mar-22,11:51,Credit card
453-63-6187,Farwaniya,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,06-Mar-22,15:40,Knet
187-83-5490,Hawally,Member,Male,Electronic accessories,20.77,4,4.154,87.234,31-Mar-22,13:47,Knet
219-61-4139,Aljahra,Normal,Male,Electronic accessories,83.08,1,4.154,87.234,22-Mar-22,21:30,Knet
784-08-0310,Aljahra,Member,Female,Food and beverages,21.04,4,4.208,88.368,17-Mar-22,13:58,Knet
237-44-6163,Hawally,Normal,Male,Electronic accessories,10.56,8,4.224,88.704,30-Mar-22,17:43,Knet
451-73-2711,Aljahra,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,22-Mar-22,15:20,Credit card
565-91-4567,Farwaniya,Normal,Male,Health and beauty,10.75,8,4.3,90.3,28-Mar-22,20:01,Credit card
848-95-6252,Aljahra,Member,Female,Home and lifestyle,86.27,1,4.3135,90.5835,25-Mar-22,13:24,Knet
586-25-0848,Hawally,Normal,Female,Sports and travel,12.34,7,4.319,90.699,31-Mar-22,11:19,Knet
213-72-6612,Hawally,Normal,Male,Food and beverages,43.25,2,4.325,90.825,30-Mar-22,15:56,Knet
280-35-5823,Farwaniya,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,29-Mar-22,18:45,Knet
211-30-9270,Aljahra,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,30-Mar-22,15:16,Knet
450-28-2866,Aljahra,Member,Male,Food and beverages,17.44,5,4.36,91.56,23-Mar-22,19:25,Credit card
848-24-9445,Aljahra,Member,Male,Health and beauty,43.7,2,4.37,91.77,31-Mar-22,18:03,Credit card
313-66-9943,Farwaniya,Member,Female,Food and beverages,29.15,3,4.3725,91.8225,30-Mar-22,20:29,Knet
325-89-4209,Hawally,Member,Female,Food and beverages,87.9,1,4.395,92.295,02-Mar-22,05:00,Knet
569-76-2760,Hawally,Member,Female,Sports and travel,22.01,4,4.402,92.442,31-Mar-22,18:15,Knet
364-33-8584,Farwaniya,Member,Female,Food and beverages,17.63,5,4.4075,92.5575,30-Mar-22,15:27,Knet
321-49-7382,Farwaniya,Member,Female,Sports and travel,88.31,1,4.4155,92.7255,01-Mar-22,17:38,Knet
511-54-3087,Farwaniya,Normal,Male,Sports and travel,88.45,1,4.4225,92.8725,27-Mar-22,16:36,Credit card
779-06-0012,Aljahra,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,30-Mar-22,10:21,Credit card
106-35-6779,Hawally,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,30-Mar-22,11:26,Knet
394-43-4238,Farwaniya,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,30-Mar-22,12:42,Knet
866-05-7563,Farwaniya,Member,Female,Electronic accessories,81.4,1,12.21,93.61,07-Mar-22,19:43,Knet
247-11-2470,Hawally,Member,Female,Health and beauty,22.32,4,4.464,93.744,25-Mar-22,16:23,Knet
210-30-7976,Farwaniya,Member,Female,Health and beauty,22.32,4,4.464,93.744,28-Mar-22,11:16,Knet
478-06-7835,Hawally,Normal,Male,Health and beauty,89.69,1,4.4845,94.1745,30-Mar-22,11:20,Credit card
512-91-0811,Aljahra,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,30-Mar-22,20:05,Credit card
573-58-9734,Farwaniya,Normal,Female,Health and beauty,30.37,3,4.5555,95.6655,04-Mar-22,13:41,Knet
528-14-9470,Hawally,Member,Male,Health and beauty,91.3,1,4.565,95.865,02-Mar-22,14:42,Knet
598-06-7312,Farwaniya,Member,Male,Health and beauty,91.35,1,4.5675,95.9175,31-Mar-22,15:42,Knet
372-94-8041,Hawally,Normal,Male,Health and beauty,15.26,6,4.578,96.138,06-Mar-22,18:03,Knet
436-54-4512,Hawally,Member,Female,Food and beverages,91.61,1,4.5805,96.1905,30-Mar-22,19:44,Knet
256-58-3609,Aljahra,Member,Male,Health and beauty,91.98,1,4.599,96.579,20-Mar-22,15:29,Credit card
460-35-4390,Hawally,Normal,Male,Home and lifestyle,30.68,3,4.602,96.642,30-Mar-22,11:00,Credit card
359-94-5395,Farwaniya,Normal,Male,Health and beauty,92.78,1,4.639,97.419,30-Mar-22,08:01,Knet
737-88-5876,Hawally,Member,Male,Home and lifestyle,23.29,4,4.658,97.818,30-Mar-22,11:52,Knet
702-72-0487,Hawally,Normal,Female,Electronic accessories,46.61,2,4.661,97.881,27-Mar-22,09:22,Knet
434-35-9162,Farwaniya,Member,Male,Food and beverages,23.34,4,4.668,98.028,02-Mar-22,18:53,Knet
875-31-8302,Farwaniya,Normal,Female,Sports and travel,93.38,1,4.669,98.049,29-Mar-22,13:07,Knet
182-69-8360,Farwaniya,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,27-Mar-22,13:32,Credit card
343-75-9322,Farwaniya,Member,Female,Sports and travel,11.85,8,4.74,99.54,02-Mar-22,16:34,Credit card
674-56-6360,Hawally,Normal,Male,Electronic accessories,95.15,1,4.7575,99.9075,31-Mar-22,14:00,Knet
186-43-8965,Hawally,Member,Female,Home and lifestyle,47.68,2,4.768,100.128,30-Mar-22,10:10,Knet
602-80-9671,Aljahra,Member,Female,Home and lifestyle,15.95,6,4.785,100.485,01-Mar-22,17:15,Knet
459-50-7686,Hawally,Normal,Female,Electronic accessories,23.46,4,7.038,100.878,23-Mar-22,19:14,Knet
761-49-0439,Farwaniya,Member,Female,Electronic accessories,12.1,8,4.84,101.64,01-Mar-22,10:17,Knet
176-64-7711,Aljahra,Normal,Male,Food and beverages,32.32,3,4.848,101.808,27-Mar-22,01:38,Credit card
744-02-5987,Hawally,Member,Male,Home and lifestyle,78.38,1,23.514,101.894,31-Mar-22,14:16,Credit card
594-34-4444,Hawally,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,31-Mar-22,20:38,Knet
883-17-4236,Aljahra,Normal,Female,Sports and travel,14.39,7,1.439,102.169,30-Mar-22,19:44,Knet
137-74-8729,Aljahra,Normal,Female,Health and beauty,12.19,8,4.876,102.396,05-Mar-22,07:00,Knet
642-61-4706,Hawally,Member,Male,Food and beverages,93.4,1,9.34,102.74,18-Mar-22,16:34,Knet
643-38-7867,Hawally,Normal,Male,Home and lifestyle,97.94,1,4.897,102.837,30-Mar-22,11:44,Knet
401-18-8016,Farwaniya,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,25-Mar-22,17:36,Credit card
241-96-5076,Farwaniya,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,30-Mar-22,12:58,Credit card
181-82-6255,Farwaniya,Normal,Female,Home and lifestyle,16.37,6,4.911,103.131,30-Mar-22,10:58,Knet
634-97-8956,Hawally,Normal,Male,Food and beverages,32.9,3,4.935,103.635,15-Mar-22,12:00,Knet
233-34-0817,Aljahra,Member,Female,Electronic accessories,98.84,1,4.942,103.782,04-Mar-22,11:21,Knet
214-17-6927,Aljahra,Normal,Female,Food and beverages,16.48,6,4.944,103.824,27-Mar-22,18:23,Knet
250-81-7186,Aljahra,Normal,Female,Electronic accessories,99.69,1,4.9845,104.6745,23-Mar-22,10:23,Knet
883-69-1285,Farwaniya,Member,Male,Health and beauty,49.92,2,4.992,104.832,30-Mar-22,11:55,Credit card
226-31-3081,Aljahra,Normal,Female,Electronic accessories,50,2,5,105,02-Mar-22,10:29,Credit card
176-78-1170,Aljahra,Member,Male,Health and beauty,33.81,3,5.0715,106.5015,30-Mar-22,15:11,Knet
152-03-4217,Farwaniya,Normal,Female,Home and lifestyle,11.28,9,5.076,106.596,27-Mar-22,11:55,Knet
756-01-7507,Aljahra,Normal,Female,Health and beauty,20.38,5,5.095,106.995,01-Mar-22,18:56,Knet
